tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7,rate_8,rate_9,rate_10
T7-T9,Mon-Wed,46-59 Days (W5),51-100,51,100,,T13-T15,T14,$489 ,$431 ,$316 ,278,278,278,278,0,0,0
T7-T9,Mon-Wed,31-45 Days (W4),0-10,0,10,,T7-T9,T7,$347 ,$309 ,$225 ,214,214,214,214,0,0,0
T7-T9,Mon-Wed,31-45 Days (W4),11-30,11,30,,T7-T9,T8,$366 ,$328 ,$229 ,242,242,242,242,0,0,0
T7-T9,Mon-Wed,31-45 Days (W4),31-50,31,50,,T10-T12,T12,$450 ,$403 ,$272 ,252,252,252,252,0,0,0
T7-T9,Mon-Wed,31-45 Days (W4),51-100,51,100,,T13-T15,T14,$478 ,$422 ,$309 ,266,266,266,266,0,0,0
T7-T9,Mon-Wed,22-30 Days (W3),0-10,0,10,,T4-T6,T4,$275 ,$238 ,$183 ,210,210,210,210,0,0,0
T7-T9,Mon-Wed,22-30 Days (W3),11-30,11,30,,T7-T9,T6,$321 ,$275 ,$211 ,237,237,237,237,0,0,0
T7-T9,Mon-Wed,22-30 Days (W3),31-50,31,50,,T10-T12,T8,$358 ,$321 ,$224 ,247,247,247,247,0,0,0
T7-T9,Mon-Wed,22-30 Days (W3),51-100,51,100,,T13-T15,T10,$404 ,$367 ,$238 ,260,260,260,260,0,0,0
T7-T9,Mon-Wed,10-21 Days (W2),0-20,0,20,,T4-T6,T4,$269 ,$233 ,$179 ,205,205,205,205,0,0,0
T7-T9,Mon-Wed,10-21 Days (W2),21-30,21,30,,T4-T6,T5,$296 ,$251 ,$197 ,232,232,232,232,0,0,0
T7-T9,Mon-Wed,10-21 Days (W2),31-60,31,60,,T7-T9,T8,$350 ,$314 ,$220 ,242,242,242,242,0,0,0
T7-T9,Mon-Wed,10-21 Days (W2),61-100,61,100,,T10-T12,T9,$368 ,$332 ,$226 ,254,254,254,254,0,0,0
T7-T9,Mon-Wed,0-9 Days (W1),0-30,0,30,,T1-T3,T2,$228 ,$202 ,$161 ,201,201,201,201,0,0,0
T7-T9,Mon-Wed,0-9 Days (W1),31-60,31,60,,T1-T3,T4,$263 ,$228 ,$175 ,226,226,226,226,0,0,0
T7-T9,Mon-Wed,0-9 Days (W1),61-80,61,80,,T10-T12,T6,$307 ,$263 ,$202 ,236,236,236,236,0,0,0
T7-T9,Mon-Wed,0-9 Days (W1),81-100,81,100,,T10-T12,T8,$342 ,$307 ,$215 ,249,249,249,249,0,0,0
T10-T12,Mon-Wed,>120 Days (W7),0-20,0,20,,T10-T12,T10,$439 ,$399 ,$259 ,257,257,257,257,0,0,0
T10-T12,Mon-Wed,>120 Days (W7),21-30,21,30,,T10-T12,T11,$459 ,$419 ,$279 ,276,276,276,276,0,0,0
T10-T12,Mon-Wed,>120 Days (W7),31-50,31,50,,T13-T15,T13,$499 ,$439 ,$299 ,303,303,303,303,0,0,0
