Reservation ID,Listing ID,PMS Name,check_in_date,check_out_date,Nightly Amount,Rental Revenue,No. of Days,Booked Date,Lead Time
3.94E+12,203812___364773,cloudbeds,6/24/23,6/26/23,507,1014,2,6/23/23,1
9.12E+12,203812___364773,cloudbeds,7/11/23,7/13/23,454,908,2,6/18/23,23
4.17E+12,203812___364773,cloudbeds,6/17/23,6/18/23,765,765,1,6/12/23,5
3.98E+11,203812___364773,cloudbeds,6/10/23,6/11/23,499,499,1,6/10/23,0
2.38E+12,203812___364773,cloudbeds,6/9/23,6/10/23,299,299,1,6/9/23,0
1.51E+12,203812___364773,cloudbeds,6/29/23,7/1/23,661.5,1323,2,6/8/23,21
8.58E+12,203812___364773,cloudbeds,6/13/23,6/14/23,466,466,1,6/7/23,6
3.59E+12,203812___364773,cloudbeds,6/6/23,6/7/23,254,254,1,6/2/23,4
8.49E+12,203812___364773,cloudbeds,6/14/23,6/15/23,228,228,1,6/1/23,13
1.57E+12,203812___364773,cloudbeds,6/4/23,6/6/23,321,642,2,5/31/23,4
3.15E+12,203812___364773,cloudbeds,6/18/23,6/22/23,323,1292,4,5/30/23,19
2.13E+11,203812___364773,cloudbeds,5/28/23,5/29/23,621,621,1,5/28/23,0
8.37E+12,203812___364773,cloudbeds,6/2/23,6/4/23,941,1882,2,5/23/23,10
3.95E+12,203812___364773,cloudbeds,6/7/23,6/9/23,415.5,831,2,5/23/23,15
3.44E+12,203812___364773,cloudbeds,6/15/23,6/17/23,491.5,983,2,5/21/23,25
8.78E+12,203812___364773,cloudbeds,6/26/23,6/28/23,454,908,2,5/20/23,37
1.82E+12,203812___364773,cloudbeds,7/22/23,7/24/23,657,1314,2,5/20/23,63
3.21E+12,203812___364773,cloudbeds,5/16/23,5/17/23,230,230,1,5/14/23,2
4.02E+12,203812___364773,cloudbeds,5/17/23,5/19/23,316,632,2,5/12/23,5
5.67E+12,203812___364773,cloudbeds,5/11/23,5/12/23,352,352,1,5/11/23,0
6.79E+11,203812___364773,cloudbeds,5/9/23,5/11/23,287,574,2,5/8/23,1
6727241457713-2,203812___364773,cloudbeds,5/7/23,5/9/23,281,562,2,5/6/23,1
5.25E+12,203812___364773,cloudbeds,5/5/23,5/7/23,518.5,1037,2,5/3/23,2
7.86E+12,203812___364773,cloudbeds,5/21/23,5/23/23,445.5,891,2,4/27/23,24
9.66E+10,203812___364773,cloudbeds,4/30/23,5/3/23,236.666667,710,3,4/26/23,4
6.44E+12,203812___364773,cloudbeds,4/29/23,4/30/23,1123,1123,1,4/24/23,5
9.71E+12,203812___364773,cloudbeds,5/12/23,5/14/23,1363.5,2727,2,4/22/23,20
8.16E+12,203812___364773,cloudbeds,4/27/23,4/29/23,772,1544,2,4/22/23,5
4.41E+12,203812___364773,cloudbeds,4/24/23,4/25/23,295,295,1,4/19/23,5
4.96E+12,203812___364773,cloudbeds,4/25/23,4/26/23,357,357,1,4/18/23,7
1.31E+12,203812___364773,cloudbeds,5/19/23,5/21/23,1130,2260,2,4/17/23,32
6.11E+12,203812___364773,cloudbeds,4/15/23,4/17/23,719.5,1439,2,4/14/23,1
4.81E+12,203812___364773,cloudbeds,5/29/23,6/1/23,522.666667,1568,3,4/12/23,47
4.61E+12,203812___364773,cloudbeds,5/25/23,5/27/23,812,1624,2,4/10/23,45
6.20E+12,203812___364773,cloudbeds,4/7/23,4/8/23,370,370,1,4/7/23,0
2.06E+12,203812___364773,cloudbeds,4/22/23,4/24/23,895.5,1791,2,4/6/23,16
6.59E+12,203812___364773,cloudbeds,4/2/23,4/3/23,367,367,1,4/1/23,1
5.88E+12,203812___364773,cloudbeds,4/4/23,4/7/23,260.333333,781,3,4/1/23,3
2.17E+12,203812___364773,cloudbeds,4/8/23,4/12/23,503.25,2013,4,3/29/23,10
5.94E+12,203812___364773,cloudbeds,3/31/23,4/2/23,697,1394,2,3/28/23,3
