Listing ID,PMS Name,Date,Units,no_booked,no_blocked,blocking_units,Bookable Units,nightly_revenue,Vacant Units
203812___490024,cloudbeds,1/18/21,1,0,1,1,0,0,0
203812___528745,cloudbeds,1/18/21,1,0,1,1,0,0,0
203812___634080,cloudbeds,1/18/21,1,0,1,1,0,0,0
203812___362535,cloudbeds,1/19/21,1,0,1,1,0,0,0
203812___364773,cloudbeds,1/19/21,1,0,1,1,0,0,0
203812___364776,cloudbeds,1/19/21,1,0,1,1,0,0,0
203812___364778,cloudbeds,1/19/21,1,0,1,1,0,0,0
203812___364779,cloudbeds,1/19/21,1,0,1,1,0,0,0
203812___364780,cloudbeds,1/19/21,1,0,1,1,0,0,0
203812___364781,cloudbeds,1/19/21,1,0,1,1,0,0,0
203812___364782,cloudbeds,1/19/21,1,0,1,1,0,0,0
203812___490007,cloudbeds,1/19/21,1,0,1,1,0,0,0
203812___490024,cloudbeds,1/19/21,1,0,1,1,0,0,0
203812___528745,cloudbeds,1/19/21,1,0,1,1,0,0,0
203812___634080,cloudbeds,1/19/21,1,0,1,1,0,0,0
203812___362535,cloudbeds,1/20/21,1,0,1,1,0,0,0
203812___364773,cloudbeds,1/20/21,1,0,1,1,0,0,0
203812___364776,cloudbeds,1/20/21,1,0,1,1,0,0,0
203812___364778,cloudbeds,1/20/21,1,0,1,1,0,0,0
203812___364779,cloudbeds,1/20/21,1,0,1,1,0,0,0
203812___364780,cloudbeds,1/20/21,1,0,1,1,0,0,0
203812___364781,cloudbeds,1/20/21,1,0,1,1,0,0,0
203812___364782,cloudbeds,1/20/21,1,0,1,1,0,0,0
203812___490007,cloudbeds,1/20/21,1,0,1,1,0,0,0
203812___490024,cloudbeds,1/20/21,1,0,1,1,0,0,0
203812___528745,cloudbeds,1/20/21,1,0,1,1,0,0,0
203812___634080,cloudbeds,1/20/21,1,0,1,1,0,0,0
203812___362535,cloudbeds,1/21/21,1,0,1,1,0,0,0
203812___364773,cloudbeds,1/21/21,1,0,1,1,0,0,0
203812___364776,cloudbeds,1/21/21,1,0,1,1,0,0,0
203812___364778,cloudbeds,1/21/21,1,0,1,1,0,0,0
203812___364779,cloudbeds,1/21/21,1,0,1,1,0,0,0
203812___364780,cloudbeds,1/21/21,1,0,1,1,0,0,0
203812___364781,cloudbeds,1/21/21,1,0,1,1,0,0,0
203812___364782,cloudbeds,1/21/21,1,0,1,1,0,0,0
203812___490007,cloudbeds,1/21/21,1,0,1,1,0,0,0
203812___490024,cloudbeds,1/21/21,1,0,1,1,0,0,0
203812___528745,cloudbeds,1/21/21,1,0,1,1,0,0,0
203812___634080,cloudbeds,1/21/21,1,0,1,1,0,0,0
203812___362535,cloudbeds,1/22/21,1,0,1,1,0,0,0
203812___364773,cloudbeds,1/22/21,1,0,1,1,0,0,0
203812___364776,cloudbeds,1/22/21,1,0,1,1,0,0,0
203812___364778,cloudbeds,1/22/21,1,0,1,1,0,0,0
203812___364779,cloudbeds,1/22/21,1,0,1,1,0,0,0
203812___364780,cloudbeds,1/22/21,1,0,1,1,0,0,0
203812___364781,cloudbeds,1/22/21,1,0,1,1,0,0,0
203812___364782,cloudbeds,1/22/21,1,0,1,1,0,0,0
203812___490007,cloudbeds,1/22/21,1,0,1,1,0,0,0
203812___490024,cloudbeds,1/22/21,1,0,1,1,0,0,0
203812___528745,cloudbeds,1/22/21,1,0,1,1,0,0,0
203812___634080,cloudbeds,1/22/21,1,0,1,1,0,0,0
203812___362535,cloudbeds,1/23/21,1,0,1,1,0,0,0
203812___364773,cloudbeds,1/23/21,1,0,1,1,0,0,0
203812___364776,cloudbeds,1/23/21,1,0,1,1,0,0,0
203812___364778,cloudbeds,1/23/21,1,0,1,1,0,0,0
203812___364779,cloudbeds,1/23/21,1,0,1,1,0,0,0
203812___364780,cloudbeds,1/23/21,1,0,1,1,0,0,0
203812___364781,cloudbeds,1/23/21,1,0,1,1,0,0,0
203812___364782,cloudbeds,1/23/21,1,0,1,1,0,0,0
203812___490007,cloudbeds,1/23/21,1,0,1,1,0,0,0
203812___490024,cloudbeds,1/23/21,1,0,1,1,0,0,0
203812___528745,cloudbeds,1/23/21,1,0,1,1,0,0,0
203812___634080,cloudbeds,1/23/21,1,0,1,1,0,0,0
203812___362535,cloudbeds,1/24/21,1,0,1,1,0,0,0
203812___364773,cloudbeds,1/24/21,1,0,1,1,0,0,0
203812___364776,cloudbeds,1/24/21,1,0,1,1,0,0,0
203812___364778,cloudbeds,1/24/21,1,0,1,1,0,0,0
203812___364779,cloudbeds,1/24/21,1,0,1,1,0,0,0
203812___364780,cloudbeds,1/24/21,1,0,1,1,0,0,0
203812___364781,cloudbeds,1/24/21,1,0,1,1,0,0,0
203812___364782,cloudbeds,1/24/21,1,0,1,1,0,0,0
203812___490007,cloudbeds,1/24/21,1,0,1,1,0,0,0
203812___490024,cloudbeds,1/24/21,1,0,1,1,0,0,0
203812___528745,cloudbeds,1/24/21,1,0,1,1,0,0,0
203812___634080,cloudbeds,1/24/21,1,0,1,1,0,0,0
203812___362535,cloudbeds,1/25/21,1,0,1,1,0,0,0
203812___364773,cloudbeds,1/25/21,1,0,1,1,0,0,0
203812___364776,cloudbeds,1/25/21,1,0,1,1,0,0,0
203812___364778,cloudbeds,1/25/21,1,0,1,1,0,0,0
203812___364779,cloudbeds,1/25/21,1,0,1,1,0,0,0
203812___364780,cloudbeds,1/25/21,1,0,1,1,0,0,0
203812___364781,cloudbeds,1/25/21,1,0,1,1,0,0,0
203812___364782,cloudbeds,1/25/21,1,0,1,1,0,0,0
203812___490007,cloudbeds,1/25/21,1,0,1,1,0,0,0
203812___490024,cloudbeds,1/25/21,1,0,1,1,0,0,0
203812___528745,cloudbeds,1/25/21,1,0,1,1,0,0,0
203812___634080,cloudbeds,1/25/21,1,0,1,1,0,0,0
