tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7
T4-T6,Fri-Sat,34-61 Days (W3),51-70%,51,70,,,T8,$422,$464,$510,$561,$616,$678,$728
T4-T6,Fri-Sat,34-61 Days (W3),70-100%,70,100,,,T10,$524,$576,$633,$697,$767,$844,$906
T4-T6,Mon-Wed,62-99 Days (W4),0-28%,0,28,,,T6,$226,$249,$274,$302,$331,$365,$392
T4-T6,Mon-Wed,62-99 Days (W4),29-50%,29,50,,,T8,$283,$311,$341,$375,$413,$454,$489
T4-T6,Mon-Wed,62-99 Days (W4),50-100%,50,100,,,T9,$320,$351,$386,$425,$467,$514,$553
T4-T6,Thu-Sun,62-99 Days (W4),0-28%,0,28,,,T6,$271,$299,$329,$362,$398,$438,$470
T4-T6,Thu-Sun,62-99 Days (W4),29-50%,29,50,,,T8,$339,$372,$410,$451,$496,$545,$585
T4-T6,Thu-Sun,62-99 Days (W4),50-100%,50,100,,,T9,$383,$422,$464,$510,$561,$617,$663
T4-T6,Fri-Sat,62-99 Days (W4),0-28%,0,28,,,T6,$326,$359,$395,$434,$477,$525,$564
T4-T6,Fri-Sat,62-99 Days (W4),29-50%,29,50,,,T8,$407,$447,$492,$541,$595,$654,$703
T4-T6,Fri-Sat,62-99 Days (W4),50-100%,50,100,,,T9,$460,$506,$557,$612,$673,$741,$796
T4-T6,Mon-Wed,>100 Days (W5),0-25%,0,25,,,T6,$231,$254,$280,$308,$338,$372,$400
T4-T6,Mon-Wed,>100 Days (W5),26-40%,26,40,,,T7,$262,$288,$317,$348,$383,$421,$453
T4-T6,Mon-Wed,>100 Days (W5),41-80%,41,80,,,T8,$297,$326,$358,$394,$434,$477,$513
T4-T6,Mon-Wed,>100 Days (W5),80-100%,80,100,,,T10,$368,$405,$446,$491,$540,$594,$638
T4-T6,Thu-Sun,>100 Days (W5),0-25%,0,25,,,T6,$277,$305,$336,$369,$406,$447,$480
T4-T6,Thu-Sun,>100 Days (W5),26-40%,26,40,,,T7,$314,$346,$380,$418,$460,$506,$544
T4-T6,Thu-Sun,>100 Days (W5),41-80%,41,80,,,T8,$356,$391,$430,$474,$520,$572,$615
T4-T6,Thu-Sun,>100 Days (W5),80-100%,80,100,,,T10,$443,$487,$535,$589,$647,$713,$765
T4-T6,Fri-Sat,>100 Days (W5),0-25%,0,25,,,T6,$333,$366,$403,$443,$487,$536,$576
T4-T6,Fri-Sat,>100 Days (W5),26-40%,26,40,,,T7,$377,$415,$456,$502,$552,$607,$652
T4-T6,Fri-Sat,>100 Days (W5),41-80%,41,80,,,T8,$427,$470,$516,$568,$624,$687,$738
T4-T6,Fri-Sat,>100 Days (W5),80-100%,80,100,,,T10,$531,$584,$642,$706,$777,$856,$919
T7-T9,Mon-Wed,0-13 Days (W1),0-14%,0,14,,,T1,$132,$145,$160,$176,$193,$213,$228
T7-T9,Mon-Wed,0-13 Days (W1),15-33%,15,33,,,T2,$150,$165,$181,$199,$219,$241,$259
T7-T9,Mon-Wed,0-13 Days (W1),34-40%,34,40,,,T3,$170,$186,$205,$225,$248,$273,$293
T7-T9,Mon-Wed,0-13 Days (W1),41-60%,41,60,,,T4,$192,$211,$232,$255,$281,$309,$331
T7-T9,Mon-Wed,0-13 Days (W1),61-100%,61,100,,,T5,$216,$238,$262,$289,$317,$348,$374
T7-T9,Thu-Sun,0-13 Days (W1),0-14%,0,14,,,T1,$158,$174,$191,$211,$232,$255,$274
T7-T9,Thu-Sun,0-13 Days (W1),14-33%,14,33,,,T2,$174,$191,$211,$232,$255,$281,$302
T7-T9,Thu-Sun,0-13 Days (W1),33-40%,33,40,,,T3,$191,$211,$232,$255,$281,$309,$331
T7-T9,Thu-Sun,0-13 Days (W1),40-60%,40,60,,,T4,$211,$232,$255,$281,$309,$339,$364
T7-T9,Thu-Sun,0-13 Days (W1),60-100%,60,100,,,T5,$232,$255,$281,$309,$339,$374,$401
T7-T9,Fri-Sat,0-13 Days (W1),0-14%,0,14,,,T1,$190,$209,$230,$253,$278,$306,$328
T7-T9,Fri-Sat,0-13 Days (W1),14-33%,14,33,,,T2,$209,$230,$253,$278,$306,$337,$362
T7-T9,Fri-Sat,0-13 Days (W1),33-40%,33,40,,,T3,$230,$253,$278,$306,$337,$371,$397
T7-T9,Fri-Sat,0-13 Days (W1),40-60%,40,60,,,T4,$253,$278,$306,$337,$371,$408,$438
T7-T9,Fri-Sat,0-13 Days (W1),60-100%,60,100,,,T5,$278,$306,$337,$371,$408,$448,$481
