tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1
T7-T9,Thu-Sun,0-9 Days (W1),0-25,0,25,,,T5,215
T7-T9,Thu-Sun,0-9 Days (W1),26-50,26,50,,,T6,247
T7-T9,Thu-Sun,0-9 Days (W1),51-75,51,75,,,T7,261
T7-T9,Thu-Sun,0-9 Days (W1),76-100,76,100,,,T8,278
T10-T12,Thu-Sun,>120 Days (W7),0-25,0,25,,,T8,287
T10-T12,Thu-Sun,>120 Days (W7),26-50,26,50,,,T9,312
T10-T12,Thu-Sun,>120 Days (W7),51-75,51,75,,,T11,352
T10-T12,Thu-Sun,>120 Days (W7),76-100,76,100,,,T13,432
T10-T12,Thu-Sun,60-120 Days (W6),0-25,0,25,,,T7,271
T10-T12,Thu-Sun,60-120 Days (W6),26-50,26,50,,,T8,295
T10-T12,Thu-Sun,60-120 Days (W6),51-75,51,75,,,T10,328
T10-T12,Thu-Sun,60-120 Days (W6),76-100,76,100,,,T12,371
T10-T12,Thu-Sun,46-59 Days (W5),0-25,0,25,,,T7,266
T10-T12,Thu-Sun,46-59 Days (W5),26-50,26,50,,,T8,289
T10-T12,Thu-Sun,46-59 Days (W5),51-75,51,75,,,T9,305
T10-T12,Thu-Sun,46-59 Days (W5),76-100,76,100,,,T11,347
T10-T12,Thu-Sun,31-45 Days (W4),0-25,0,25,,,T7,260
T10-T12,Thu-Sun,31-45 Days (W4),26-50,26,50,,,T8,283
T10-T12,Thu-Sun,31-45 Days (W4),51-75,51,75,,,T9,299
T10-T12,Thu-Sun,31-45 Days (W4),76-100,76,100,,,T10,324
T10-T12,Thu-Sun,22-30 Days (W3),0-25,0,25,,,T7,255
T10-T12,Thu-Sun,22-30 Days (W3),26-50,26,50,,,T8,277
T10-T12,Thu-Sun,22-30 Days (W3),51-75,51,75,,,T9,292
T10-T12,Thu-Sun,22-30 Days (W3),76-100,76,100,,,T10,317
T10-T12,Thu-Sun,10-21 Days (W2),0-25,0,25,,,T7,249
T10-T12,Thu-Sun,10-21 Days (W2),26-50,26,50,,,T8,271
T10-T12,Thu-Sun,10-21 Days (W2),51-75,51,75,,,T9,286
T10-T12,Thu-Sun,10-21 Days (W2),76-100,76,100,,,T10,310
T10-T12,Thu-Sun,0-9 Days (W1),0-25,0,25,0-1,,T5,215
T10-T12,Thu-Sun,0-9 Days (W1),0-25,0,25,3-Feb,,T6,237
T10-T12,Thu-Sun,0-9 Days (W1),0-25,0,25,6-Apr,,T7,249
T10-T12,Thu-Sun,0-9 Days (W1),0-25,0,25,9-Jul,,T8,260
T10-T12,Thu-Sun,0-9 Days (W1),26-50,26,50,,,T9,274
T10-T12,Thu-Sun,0-9 Days (W1),51-75,51,75,,,T10,295
T10-T12,Thu-Sun,0-9 Days (W1),76-100,76,100,,,T11,318
T13-T15,Thu-Sun,>120 Days (W7),0-25,0,25,,,T10,313
T13-T15,Thu-Sun,>120 Days (W7),26-50,26,50,,,T11,345
T13-T15,Thu-Sun,>120 Days (W7),51-75,51,75,,,T13,421
T13-T15,Thu-Sun,>120 Days (W7),76-100,76,100,,,T15,541
T13-T15,Thu-Sun,60-120 Days (W6),0-25,0,25,,,T9,291
T13-T15,Thu-Sun,60-120 Days (W6),26-50,26,50,,,T10,322
T13-T15,Thu-Sun,60-120 Days (W6),51-75,51,75,,,T12,361
T13-T15,Thu-Sun,60-120 Days (W6),76-100,76,100,,,T14,476
T13-T15,Thu-Sun,46-59 Days (W5),0-25,0,25,,,T8,276
T13-T15,Thu-Sun,46-59 Days (W5),26-50,26,50,,,T9,299
T13-T15,Thu-Sun,46-59 Days (W5),51-75,51,75,,,T11,338
T13-T15,Thu-Sun,46-59 Days (W5),76-100,76,100,,,T13,415
T13-T15,Thu-Sun,31-45 Days (W4),0-25,0,25,,,T8,270
T13-T15,Thu-Sun,31-45 Days (W4),26-50,26,50,,,T9,293
T13-T15,Thu-Sun,31-45 Days (W4),51-75,51,75,,,T10,315
T13-T15,Thu-Sun,31-45 Days (W4),76-100,76,100,,,T12,356
T13-T15,Thu-Sun,22-30 Days (W3),0-25,0,25,,,T8,264
T13-T15,Thu-Sun,22-30 Days (W3),26-50,26,50,,,T9,287
T13-T15,Thu-Sun,22-30 Days (W3),51-75,51,75,,,T10,308
T13-T15,Thu-Sun,22-30 Days (W3),76-100,76,100,,,T11,333
T13-T15,Thu-Sun,10-21 Days (W2),0-25,0,25,,,T7,249
T13-T15,Thu-Sun,10-21 Days (W2),26-50,26,50,,,T8,271
T13-T15,Thu-Sun,10-21 Days (W2),51-75,51,75,,,T9,286
T13-T15,Thu-Sun,10-21 Days (W2),76-100,76,100,,,T10,310
T13-T15,Thu-Sun,0-9 Days (W1),0-25,0,25,0-1,,T6,235
T13-T15,Thu-Sun,0-9 Days (W1),0-25,0,25,3-Feb,,T7,246
T13-T15,Thu-Sun,0-9 Days (W1),0-25,0,25,6-Apr,,T8,258
T13-T15,Thu-Sun,0-9 Days (W1),0-25,0,25,9-Jul,,T9,269
T13-T15,Thu-Sun,0-9 Days (W1),26-50,26,50,,,T10,289
T13-T15,Thu-Sun,0-9 Days (W1),51-75,51,75,,,T11,310
T13-T15,Thu-Sun,0-9 Days (W1),76-100,76,100,,,T12 ,
T1-T3,Fri-Sat,>120 Days (W7),0-25,0,25,,,T1,285
T1-T3,Fri-Sat,>120 Days (W7),26-50,26,50,,,T2,322
T1-T3,Fri-Sat,>120 Days (W7),51-75,51,75,,,T6,452
T1-T3,Fri-Sat,>120 Days (W7),76-100,76,100,,,T8,495
T1-T3,Fri-Sat,60-120 Days (W6),0-25,0,25,,,T1,279
T1-T3,Fri-Sat,60-120 Days (W6),26-50,26,50,,,T2,316
T1-T3,Fri-Sat,60-120 Days (W6),51-75,51,75,,,T5,410
T1-T3,Fri-Sat,60-120 Days (W6),76-100,76,100,,,T7,470
T1-T3,Fri-Sat,46-59 Days (W5),0-25,0,25,,,T1,274
T1-T3,Fri-Sat,46-59 Days (W5),26-50,26,50,,,T2,309
T1-T3,Fri-Sat,46-59 Days (W5),51-75,51,75,,,T4,370
T1-T3,Fri-Sat,46-59 Days (W5),76-100,76,100,,,T6,446
T1-T3,Fri-Sat,31-45 Days (W4),0-25,0,25,,,T1,268
T1-T3,Fri-Sat,31-45 Days (W4),26-50,26,50,,,T2,303
T1-T3,Fri-Sat,31-45 Days (W4),51-75,51,75,,,T3,331
T1-T3,Fri-Sat,31-45 Days (W4),76-100,76,100,,,T5,404
T1-T3,Fri-Sat,22-30 Days (W3),0-25,0,25,,,T1,262
T1-T3,Fri-Sat,22-30 Days (W3),26-50,26,50,,,T2,297
T1-T3,Fri-Sat,22-30 Days (W3),51-75,51,75,,,T3,324
T1-T3,Fri-Sat,22-30 Days (W3),76-100,76,100,,,T4,364
T1-T3,Fri-Sat,10-21 Days (W2),0-25,0,25,,,T1,256
T1-T3,Fri-Sat,10-21 Days (W2),26-50,26,50,,,T2,290
T1-T3,Fri-Sat,10-21 Days (W2),51-75,51,75,,,T3,317
T1-T3,Fri-Sat,10-21 Days (W2),76-100,76,100,,,T4,356
T1-T3,Fri-Sat,0-9 Days (W1),0-25,0,25,,,T1,251
T1-T3,Fri-Sat,0-9 Days (W1),26-50,26,50,,,T2,284
T1-T3,Fri-Sat,0-9 Days (W1),51-75,51,75,,,T3,310
T1-T3,Fri-Sat,0-9 Days (W1),76-100,76,100,,,T4,348
T4-T6,Fri-Sat,>120 Days (W7),0-25,0,25,,,T3,329
T4-T6,Fri-Sat,>120 Days (W7),26-50,26,50,,,T4,378
T4-T6,Fri-Sat,>120 Days (W7),51-75,51,75,,,T7,467
T4-T6,Fri-Sat,>120 Days (W7),76-100,76,100,,,T9,510
T4-T6,Fri-Sat,60-120 Days (W6),0-25,0,25,,,T3,322
T4-T6,Fri-Sat,60-120 Days (W6),26-50,26,50,,,T4,370
T4-T6,Fri-Sat,60-120 Days (W6),51-75,51,75,,,T6,443
T4-T6,Fri-Sat,60-120 Days (W6),76-100,76,100,,,T8,485
T4-T6,Fri-Sat,46-59 Days (W5),0-25,0,25,,,T3,316
T4-T6,Fri-Sat,46-59 Days (W5),26-50,26,50,,,T4,363
T4-T6,Fri-Sat,46-59 Days (W5),51-75,51,75,,,T5,402
T4-T6,Fri-Sat,46-59 Days (W5),76-100,76,100,,,T7,460
T4-T6,Fri-Sat,31-45 Days (W4),0-25,0,25,,,T3,309
T4-T6,Fri-Sat,31-45 Days (W4),26-50,26,50,,,T4,355
T4-T6,Fri-Sat,31-45 Days (W4),51-75,51,75,,,T5,393
T4-T6,Fri-Sat,31-45 Days (W4),76-100,76,100,,,T6,436
T4-T6,Fri-Sat,22-30 Days (W3),0-25,0,25,,,T3,303
T4-T6,Fri-Sat,22-30 Days (W3),26-50,26,50,,,T4,348
T4-T6,Fri-Sat,22-30 Days (W3),51-75,51,75,,,T5,385
T4-T6,Fri-Sat,22-30 Days (W3),76-100,76,100,,,T6,427
T4-T6,Fri-Sat,10-21 Days (W2),0-25,0,25,,,T3,296
T4-T6,Fri-Sat,10-21 Days (W2),26-50,26,50,,,T4,340
T4-T6,Fri-Sat,10-21 Days (W2),51-75,51,75,,,T5,377
T4-T6,Fri-Sat,10-21 Days (W2),76-100,76,100,,,T6,418
T4-T6,Fri-Sat,0-9 Days (W1),0-25,0,25,,,T3,290
T4-T6,Fri-Sat,0-9 Days (W1),26-50,26,50,,,T4,333
T4-T6,Fri-Sat,0-9 Days (W1),51-75,51,75,,,T5,368
T4-T6,Fri-Sat,0-9 Days (W1),76-100,76,100,,,T6,408
T7-T9,Fri-Sat,>120 Days (W7),0-25,0,25,,,T5,391
T7-T9,Fri-Sat,>120 Days (W7),26-50,26,50,,,T6,443
T7-T9,Fri-Sat,>120 Days (W7),51-75,51,75,,,T9,496
T7-T9,Fri-Sat,>120 Days (W7),76-100,76,100,,,T11,556
