tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1,rate_2,rate_4
T3-T4,Fri-Sat,31-90 Days (W3),36-100%,36,100,,,T6,404,557,783
T3-T4,Mon-Wed,8-30 Days (W2),0-10%,0,10,,,T1,149,156,171
T3-T4,Mon-Wed,8-30 Days (W2),11-25%,11,25,,,T2,174,183,199
T3-T4,Mon-Wed,8-30 Days (W2),26-40%,26,40,,,T3,220,231,253
T3-T4,Mon-Wed,8-30 Days (W2),41-100%,41,100,,,T5,250,315,407
T3-T4,Thu-Sun,8-30 Days (W2),0-10%,0,10,,,T1,171,180,196
T3-T4,Thu-Sun,8-30 Days (W2),11-25%,11,25,,,T2,199,209,228
T3-T4,Thu-Sun,8-30 Days (W2),26-40%,26,40,,,T3,252,264,289
T3-T4,Thu-Sun,8-30 Days (W2),41-100%,41,100,,,T5,286,360,465
T3-T4,Fri-Sat,8-30 Days (W2),0-10%,0,10,,,T1,226,237,259
T3-T4,Fri-Sat,8-30 Days (W2),11-25%,11,25,,,T2,262,275,301
T3-T4,Fri-Sat,8-30 Days (W2),26-40%,26,40,,,T3,332,349,382
T3-T4,Fri-Sat,8-30 Days (W2),41-100%,41,100,,,T5,376,474,613
T3-T4,Mon-Wed,0-7 Days (W1),0-15%,0,15,,,T0,128,151,165
T3-T4,Mon-Wed,0-7 Days (W1),16-30%,16,30,,,T1,151,157,172
T3-T4,Mon-Wed,0-7 Days (W1),31-50%,31,50,,,T2,176,184,201
T3-T4,Mon-Wed,0-7 Days (W1),51-100%,51,100,,,T3,222,233,255
T3-T4,Thu-Sun,0-7 Days (W1),0-15%,0,15,,,T0,146,167,211
T3-T4,Thu-Sun,0-7 Days (W1),16-30%,16,30,,,T1,172,181,198
T3-T4,Thu-Sun,0-7 Days (W1),31-50%,31,50,,,T2,201,211,230
T3-T4,Thu-Sun,0-7 Days (W1),51-100%,51,100,,,T3,254,266,291
T3-T4,Fri-Sat,0-7 Days (W1),0-15%,0,15,,,T0,192,215,257
T3-T4,Fri-Sat,0-7 Days (W1),16-30%,16,30,,,T1,227,239,262
T3-T4,Fri-Sat,0-7 Days (W1),31-50%,31,50,,,T2,264,277,303
T3-T4,Fri-Sat,0-7 Days (W1),51-100%,51,100,,,T3,334,351,384
T5-T6,Mon-Wed,> 181 Days (W5),0-5%,0,5,,,T6,256,353,496
T5-T6,Mon-Wed,> 181 Days (W5),6-10%,6,10,,,T6,264,364,511
T5-T6,Mon-Wed,> 181 Days (W5),11-20%,11,20,,,T6,271,374,526
T5-T6,Mon-Wed,> 181 Days (W5),21-100%,21,100,,,T7,293,443,676
