tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1,rate_2,rate_3,rate_4
T4-T6,Thu-Sun,>90 Days (W6),80-100%,80,100,,,T12,$696,$800,$841,$967
T4-T6,Fri-Sat,>90 Days (W6),80-100%,80,100,,,T12,$973,"$1,119","$1,175","$1,351"
T4-T6,Mon-Wed,60-90 Days (W5),0-20%,0,20,,,T4,$246,$283,$297,$341
T4-T6,Thu-Sun,60-90 Days (W5),0-20%,0,20,,,T4,$273,$315,$330,$380
T4-T6,Fri-Sat,60-90 Days (W5),0-20%,0,20,,,T4,$394,$453,$475,$547
T4-T6,Mon-Wed,60-90 Days (W5),21-35%,21,35,,,T5,$282,$324,$340,$392
T4-T6,Thu-Sun,60-90 Days (W5),21-35%,21,35,,,T5,$314,$361,$380,$437
T4-T6,Fri-Sat,60-90 Days (W5),21-35%,21,35,,,T5,$451,$519,$545,$627
T4-T6,Mon-Wed,60-90 Days (W5),36-50%,36,50,,,T6,$319,$367,$385,$444
T4-T6,Thu-Sun,60-90 Days (W5),36-50%,36,50,,,T6,$356,$409,$430,$494
T4-T6,Fri-Sat,60-90 Days (W5),36-50%,36,50,,,T6,$511,$588,$617,$710
T4-T6,Mon-Wed,60-90 Days (W5),51-65%,51,65,,,T8,$400,$459,$483,$555
T4-T6,Thu-Sun,60-90 Days (W5),51-65%,51,65,,,T8,$451,$518,$544,$625
T4-T6,Fri-Sat,60-90 Days (W5),51-65%,51,65,,,T8,$640,$736,$772,$888
T4-T6,Mon-Wed,60-90 Days (W5),66-82%,66,82,,,T10,$491,$564,$593,$682
T4-T6,Thu-Sun,60-90 Days (W5),66-82%,66,82,,,T10,$559,$642,$674,$775
T4-T6,Fri-Sat,60-90 Days (W5),66-82%,66,82,,,T10,$786,$903,$948,"$1,091"
T4-T6,Mon-Wed,60-90 Days (W5),83-100%,83,100,,,T11,$549,$631,$663,$762
T4-T6,Thu-Sun,60-90 Days (W5),83-100%,83,100,,,T11,$628,$722,$758,$872
T4-T6,Fri-Sat,60-90 Days (W5),83-100%,83,100,,,T11,$880,"$1,012","$1,063","$1,222"
T4-T6,Mon-Wed,30-59 Days (W4),0-25%,0,25,,,T3,$215,$248,$260,$300
T4-T6,Thu-Sun,30-59 Days (W4),0-25%,0,25,,,T3,$238,$274,$287,$330
T4-T6,Fri-Sat,30-59 Days (W4),0-25%,0,25,,,T3,$344,$396,$416,$478
T4-T6,Mon-Wed,30-59 Days (W4),26-40%,26,40,,,T4,$248,$286,$300,$344
T4-T6,Thu-Sun,30-59 Days (W4),26-40%,26,40,,,T4,$276,$317,$333,$384
T4-T6,Fri-Sat,30-59 Days (W4),26-40%,26,40,,,T4,$397,$457,$480,$552
T4-T6,Mon-Wed,30-59 Days (W4),41-55%,41,55,,,T5,$284,$327,$343,$395
T4-T6,Thu-Sun,30-59 Days (W4),41-55%,41,55,,,T5,$316,$364,$383,$441
T4-T6,Fri-Sat,30-59 Days (W4),41-55%,41,55,,,T5,$455,$523,$550,$632
T4-T6,Mon-Wed,30-59 Days (W4),56-70%,56,70,,,T7,$356,$409,$430,$495
T4-T6,Thu-Sun,30-59 Days (W4),56-70%,56,70,,,T7,$400,$459,$482,$555
T4-T6,Fri-Sat,30-59 Days (W4),56-70%,56,70,,,T7,$569,$655,$687,$791
T4-T6,Mon-Wed,30-59 Days (W4),71-82%,71,82,,,T9,$439,$504,$529,$609
T4-T6,Thu-Sun,30-59 Days (W4),71-82%,71,82,,,T9,$497,$571,$600,$690
T4-T6,Fri-Sat,30-59 Days (W4),71-82%,71,82,,,T9,$703,$809,$849,$977
T4-T6,Mon-Wed,30-59 Days (W4),83-100%,83,100,,,T10,$493,$567,$596,$686
T4-T6,Thu-Sun,30-59 Days (W4),83-100%,83,100,,,T10,$562,$646,$678,$779
T4-T6,Fri-Sat,30-59 Days (W4),83-100%,83,100,,,T10,$790,$909,$954,"$1,097"
T4-T6,Mon-Wed,15-29 Days (W3),0-25%,0,25,,,T3,$211,$243,$255,$293
T4-T6,Thu-Sun,15-29 Days (W3),0-25%,0,25,,,T3,$233,$268,$281,$323
T4-T6,Fri-Sat,15-29 Days (W3),0-25%,0,25,,,T3,$337,$387,$407,$468
T4-T6,Mon-Wed,15-29 Days (W3),26-40%,26,40,,,T4,$243,$280,$293,$337
T4-T6,Thu-Sun,15-29 Days (W3),26-40%,26,40,,,T4,$270,$311,$326,$376
T4-T6,Fri-Sat,15-29 Days (W3),26-40%,26,40,,,T4,$389,$447,$470,$540
T4-T6,Mon-Wed,15-29 Days (W3),41-55%,41,55,,,T5,$278,$320,$336,$387
T4-T6,Thu-Sun,15-29 Days (W3),41-55%,41,55,,,T5,$310,$357,$375,$431
T4-T6,Fri-Sat,15-29 Days (W3),41-55%,41,55,,,T5,$445,$512,$538,$619
T4-T6,Mon-Wed,15-29 Days (W3),56-70%,56,70,,,T6,$315,$362,$380,$438
T4-T6,Thu-Sun,15-29 Days (W3),56-70%,56,70,,,T6,$351,$404,$424,$488
T4-T6,Fri-Sat,15-29 Days (W3),56-70%,56,70,,,T6,$504,$580,$609,$700
T4-T6,Mon-Wed,15-29 Days (W3),71-82%,71,82,,,T8,$394,$453,$476,$547
T4-T6,Thu-Sun,15-29 Days (W3),71-82%,71,82,,,T8,$444,$511,$536,$616
T4-T6,Fri-Sat,15-29 Days (W3),71-82%,71,82,,,T8,$631,$725,$761,$875
T4-T6,Mon-Wed,15-29 Days (W3),83-100%,83,100,,,T9,$441,$507,$532,$612
T4-T6,Thu-Sun,15-29 Days (W3),83-100%,83,100,,,T9,$499,$574,$603,$694
T4-T6,Fri-Sat,15-29 Days (W3),83-100%,83,100,,,T9,$707,$813,$854,$983
T4-T6,Mon-Wed,7-14 Days (W2),0-25%,0,25,,,T3,$206,$237,$249,$287
T4-T6,Thu-Sun,7-14 Days (W2),0-25%,0,25,,,T3,$228,$262,$275,$316
T4-T6,Fri-Sat,7-14 Days (W2),0-25%,0,25,,,T3,$329,$379,$398,$458
T4-T6,Mon-Wed,7-14 Days (W2),26-40%,26,40,,,T4,$238,$274,$287,$330
T4-T6,Thu-Sun,7-14 Days (W2),26-40%,26,40,,,T4,$264,$304,$319,$368
T4-T6,Fri-Sat,7-14 Days (W2),26-40%,26,40,,,T4,$381,$438,$460,$529
T4-T6,Mon-Wed,7-14 Days (W2),41-60%,41,60,,,T5,$272,$313,$329,$378
T4-T6,Thu-Sun,7-14 Days (W2),41-60%,41,60,,,T5,$303,$349,$367,$422
T4-T6,Fri-Sat,7-14 Days (W2),41-60%,41,60,,,T5,$436,$501,$527,$606
T4-T6,Mon-Wed,7-14 Days (W2),61-75%,61,75,,,T5,$280,$322,$338,$389
T4-T6,Thu-Sun,7-14 Days (W2),61-75%,61,75,,,T5,$312,$359,$377,$434
T4-T6,Fri-Sat,7-14 Days (W2),61-75%,61,75,,,T5,$448,$515,$542,$623
T4-T6,Mon-Wed,7-14 Days (W2),76-82%,76,82,,,T6,$316,$364,$382,$440
T4-T6,Thu-Sun,7-14 Days (W2),76-82%,76,82,,,T6,$353,$406,$427,$490
T4-T6,Fri-Sat,7-14 Days (W2),76-82%,76,82,,,T6,$507,$583,$612,$704
T4-T6,Mon-Wed,7-14 Days (W2),83-100%,83,100,,,T6,$325,$373,$393,$452
T4-T6,Thu-Sun,7-14 Days (W2),83-100%,83,100,,,T6,$363,$417,$438,$504
T4-T6,Fri-Sat,7-14 Days (W2),83-100%,83,100,,,T6,$521,$599,$628,$723
T4-T6,Mon-Wed,0-6 Days (W1),0-25%,0,25,,,T3,$202,$232,$244,$281
T4-T6,Thu-Sun,0-6 Days (W1),0-25%,0,25,,,T3,$223,$256,$269,$310
T4-T6,Fri-Sat,0-6 Days (W1),0-25%,0,25,,,T3,$322,$371,$390,$448
T4-T6,Mon-Wed,0-6 Days (W1),26-40%,26,40,,,T4,$233,$268,$281,$323
T4-T6,Thu-Sun,0-6 Days (W1),26-40%,26,40,,,T4,$259,$298,$312,$360
T4-T6,Fri-Sat,0-6 Days (W1),26-40%,26,40,,,T4,$373,$428,$450,$517
T4-T6,Mon-Wed,0-6 Days (W1),41-55%,41,55,,,T5,$266,$306,$321,$370
T4-T6,Thu-Sun,0-6 Days (W1),41-55%,41,55,,,T5,$297,$342,$359,$413
T4-T6,Fri-Sat,0-6 Days (W1),41-55%,41,55,,,T5,$426,$490,$515,$592
T4-T6,Mon-Wed,0-6 Days (W1),56-70%,56,70,,,T5,$274,$315,$331,$381
T4-T6,Thu-Sun,0-6 Days (W1),56-70%,56,70,,,T5,$305,$351,$369,$425
T4-T6,Fri-Sat,0-6 Days (W1),56-70%,56,70,,,T5,$439,$504,$530,$609
T4-T6,Mon-Wed,0-6 Days (W1),71-82%,71,82,,,T6,$309,$356,$374,$430
T4-T6,Thu-Sun,0-6 Days (W1),71-82%,71,82,,,T6,$346,$397,$417,$480
T4-T6,Fri-Sat,0-6 Days (W1),71-82%,71,82,,,T6,$496,$571,$599,$688
T4-T6,Mon-Wed,0-6 Days (W1),83-100%,83,100,,,T6,$318,$365,$384,$442
T4-T6,Thu-Sun,0-6 Days (W1),83-100%,83,100,,,T6,$355,$408,$428,$493
T4-T6,Fri-Sat,0-6 Days (W1),83-100%,83,100,,,T6,$509,$586,$615,$707
T7-T9,Mon-Wed,>90 Days (W6),0-15%,0,15,,,T7,$340,$391,$411,$473
T7-T9,Thu-Sun,>90 Days (W6),0-15%,0,15,,,T7,$382,$439,$461,$530
T7-T9,Fri-Sat,>90 Days (W6),0-15%,0,15,,,T7,$544,$626,$657,$756
T7-T9,Mon-Wed,>90 Days (W6),16-35%,16,35,,,T8,$385,$443,$466,$536
T7-T9,Thu-Sun,>90 Days (W6),16-35%,16,35,,,T8,$435,$500,$524,$603
T7-T9,Fri-Sat,>90 Days (W6),16-35%,16,35,,,T8,$617,$710,$745,$856
T7-T9,Mon-Wed,>90 Days (W6),36-50%,36,50,,,T9,$432,$497,$522,$600
T7-T9,Thu-Sun,>90 Days (W6),36-50%,36,50,,,T9,$490,$563,$591,$681
T7-T9,Fri-Sat,>90 Days (W6),36-50%,36,50,,,T9,$693,$797,$837,$964
T7-T9,Mon-Wed,>90 Days (W6),51-65%,51,65,,,T10,$487,$560,$589,$677
T7-T9,Thu-Sun,>90 Days (W6),51-65%,51,65,,,T10,$555,$638,$669,$770
T7-T9,Fri-Sat,>90 Days (W6),51-65%,51,65,,,T10,$780,$897,$942,"$1,083"
T7-T9,Mon-Wed,>90 Days (W6),66-79%,66,79,,,T12,$590,$679,$712,$819
T7-T9,Thu-Sun,>90 Days (W6),66-79%,66,79,,,T12,$678,$780,$819,$942
T7-T9,Fri-Sat,>90 Days (W6),66-79%,66,79,,,T12,$948,"$1,090","$1,145","$1,316"
T7-T9,Mon-Wed,>90 Days (W6),80-100%,80,100,,,T14,$710,$816,$858,$987
T7-T9,Thu-Sun,>90 Days (W6),80-100%,80,100,,,T14,$822,$945,$992,"$1,141"
T7-T9,Fri-Sat,>90 Days (W6),80-100%,80,100,,,T14,"$1,151","$1,324","$1,390","$1,598"
T7-T9,Mon-Wed,60-90 Days (W5),0-20%,0,20,,,T7,$333,$383,$403,$464
T7-T9,Thu-Sun,60-90 Days (W5),0-20%,0,20,,,T7,$374,$430,$452,$519
T7-T9,Fri-Sat,60-90 Days (W5),0-20%,0,20,,,T7,$533,$613,$644,$741
